"","fight","episode","fight.in.episode","fighter1.win","fighter1","fighter2","fighter1.lefty","fighter2.lefty"
"122",1365,136,5,1,79,91,0,0
"123",1366,136,6,0,115,223,0,0
"124",1367,136,7,0,222,168,0,1
"125",1371,137,1,1,94,82,0,0
"126",1372,137,2,0,108,209,0,0
"127",1373,137,3,0,173,206,1,0
"128",1374,137,4,1,37,156,0,1
"129",1375,137,5,1,177,15,1,0
"130",1376,137,6,1,62,58,0,0
"131",1381,138,1,1,226,72,0,0
"132",1382,138,2,0,48,8,1,0
"133",1383,138,3,0,181,227,1,0
"134",1384,138,4,0,38,36,0,0
"135",1385,138,5,1,195,16,0,0
"136",1386,138,6,0,39,152,1,0
"137",1391,139,1,1,221,136,0,0
"138",1392,139,2,1,153,199,0,1
"139",1393,139,3,0,20,235,0,0
"140",1394,139,4,0,47,239,1,0
"141",1395,139,5,1,50,218,0,0
"142",1401,140,1,0,150,33,0,0
"143",1403,140,3,1,201,232,1,0
"144",1404,140,4,0,106,46,0,0
"145",1405,140,5,1,78,172,1,0
"146",1406,140,6,1,123,142,0,1
"147",1407,140,7,1,57,119,0,0
"148",1408,140,8,1,96,135,0,1
"149",1409,140,9,0,197,101,0,0
"150",1411,141,1,1,112,174,1,0
"151",1412,141,2,1,1,238,0,0
"152",1413,141,3,0,122,121,0,1
"153",1414,141,4,1,63,211,1,1
"154",1415,141,5,0,62,175,0,1
"155",1416,141,6,0,23,3,0,0
"156",1417,141,7,0,145,59,0,0
"157",1421,142,1,1,71,226,0,0
"158",1422,142,2,1,25,73,0,0
"159",1423,142,3,0,168,205,1,0
"160",1424,142,4,1,237,7,1,0
"161",1425,142,5,1,127,31,0,0
"162",1426,142,6,0,196,170,1,0
"163",1427,142,7,1,81,70,0,0
"164",1428,142,8,0,208,229,0,0
"165",1431,143,1,1,67,43,0,0
"166",1432,143,2,1,195,209,0,0
"167",1433,143,3,1,128,169,0,0
"168",1434,143,4,0,206,76,0,0
"169",1435,143,5,1,27,177,0,1
"170",1441,144,1,0,113,9,0,1
"171",1442,144,2,1,94,12,0,0
"172",1443,144,3,1,231,242,0,1
"173",1444,144,4,0,240,102,0,0
"174",1445,144,5,1,151,37,0,0
"175",1446,144,6,1,207,191,0,0
"176",1447,144,7,0,79,13,0,1
"177",1448,144,8,1,97,230,0,0
"178",1451,145,1,0,116,148,0,0
"179",1452,145,2,0,150,69,0,0
"180",1453,145,3,1,162,163,0,0
"181",1454,145,4,1,14,19,0,0
"182",1455,145,5,1,203,36,0,0
"183",1456,145,6,0,194,123,0,0
"184",1457,145,7,1,234,30,0,0
"185",1461,146,1,0,138,220,0,0
"186",1462,146,2,0,216,223,1,0
"187",1463,146,3,0,54,206,0,0
"188",1464,146,4,1,49,65,0,0
"189",1465,146,5,0,71,105,0,0
"190",1466,146,6,0,11,24,0,0
"191",1467,146,7,1,129,78,0,1
"192",1468,146,8,1,164,52,0,0
"193",1469,146,9,0,136,88,0,0
"194",1471,147,1,0,241,93,1,0
"195",1472,147,2,0,171,76,0,0
"196",1473,147,3,1,202,89,0,0
"197",1474,147,4,1,29,213,1,0
"198",1475,147,5,1,198,239,1,0
"199",1481,148,1,1,165,98,0,0
"200",1482,148,2,0,44,31,1,0
"201",1483,148,3,0,63,56,1,1
"202",1484,148,4,0,182,47,0,1
"203",1485,148,5,0,77,232,0,0
"204",1486,148,6,1,5,32,1,1
"205",14610,146,10,1,184,99,0,1
